,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
178,147.222222,107.111995,77.929672,1.0,512.0,8.0,128.0,4.0,1.0,8.0,3.9,0.000129,24.04,0.4521192,3.5048000000000004
179,168.959732,77.331834,35.394307,3.0,8.0,4.0,64.0,2.0,2.0,8.0,3.3,0.000171,18.06,0.388458135,2.271685
180,148.964497,120.128559,96.874564,1.0,4.0,32.0,64.0,2.0,2.0,8.0,2.8,0.000149,33.649,0.745253151,5.001699
181,148.964497,116.327059,90.840334,1.0,128.0,32.0,128.0,1.0,2.0,8.0,2.8,0.000169,13.095,0.3088359911,1.8274319
182,195.155039,99.685948,50.919967,2.0,4.0,4.0,128.0,4.0,2.0,8.0,2.5,0.000169,14.484,0.3293509687,1.9488223
183,147.222222,117.572471,93.894018,1.0,64.0,32.0,128.0,2.0,2.0,8.0,3.6,0.000129,24.477,0.448489785,3.476665
184,148.964497,118.16135,93.727733,1.0,128.0,32.0,128.0,2.0,2.0,1.0,2.7,0.000171,14.238,0.3224104794,1.8854414
185,195.155039,100.18319,51.42922,2.0,8.0,4.0,128.0,4.0,2.0,8.0,3.6,0.000169,13.191,0.3192049016,1.8887864
186,148.964497,106.041285,75.486135,1.0,8.0,128.0,1024.0,2.0,2.0,8.0,2.1,0.000129,24.512,0.4440488309999999,3.442239
187,148.964497,118.941776,94.969918,1.0,4.0,32.0,128.0,2.0,2.0,8.0,2.8,0.000169,19.722,0.396342349,2.345221
188,0.0,0.0,0.0,2.0,4.0,8.0,64.0,4.0,16.0,8.0,2.2,0.000169,13.918,0.3150297735,1.8640815
189,195.155039,89.021617,40.607962,2.0,512.0,32.0,512.0,2.0,2.0,8.0,3.8,0.0,0.0,0.0,0.0
190,147.222222,120.331328,98.352194,1.0,4.0,32.0,128.0,2.0,2.0,4.0,3.9,0.000129,34.411,0.5623794990000001,4.3595310000000005
